,best_match_score,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados,Unnamed: 0,nome_marca,id_marca,nome_modelo,id_modelo
2142,0.66653779574543,Palio Weekend Adventure 1.8 16v,Prata,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-weekend-adventure-1-8-16v/10-11/1185957,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS",2010.0,2011.0, MS,"Rodovia MS 156, 2595 ", Chácara Sidelis , Dourados ,fiat,17/06/2022,1286,Fiat,21,Palio Weekend Adventure 1.8 8V 103cv 4p,546
2283,0.18386644830161075,C3 Hatch Tendance 1.5,Prata,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-tendance-1-5/13-14/1188489,Claudio Pinto de Souza Filho,Inocência - MS,2013.0,2014.0,,Inocência , MS,,citro-n,17/06/2022,743,Citroën,13,C3 Tendance 1.5 Flex 8V 5p Mec.,6155
2333,0.14107741635804996,Celta LT 1.0 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-lt-1-0-4p/14-15/1190564,Premium Auto Car,"Av. Ricardo Brandão, 778 - Itanhangá Park - Campo Grande / MS",2014.0,2015.0, MS,"Av. Ricardo Brandão, 778 ", Itanhangá Park , Campo Grande ,gm-chevrolet,17/06/2022,2114,GM - Chevrolet,23,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,1002
2479,0.45844427101270085,Gol Power 1.6 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-power-1-6-4p/11-12/1124738,Grid Automóveis,"Av. das Bandeiras, 500 - Vila Carvalho - Campo Grande / MS",2011.0,2012.0, MS,"Av. das Bandeiras, 500 ", Vila Carvalho , Campo Grande ,vw-volkswagen,17/06/2022,5693,VW - VolksWagen,59,Gol 1.6 Mi/ Power 1.6 Mi 4p,2394
2483,0.33181925618081076,Sandero Expression 1.6,Vermelha,Flex,,,https://www.shopcar.com.br/veiculos/renault/sandero-expression-1-6/13-14/1192151,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS",2013.0,2014.0, MS,"Rua João Pedro de Souza,73 ", Jardim Monte Líbano , Campo Grande ,renault,17/06/2022,4951,Renault,48,SANDERO Expression Flex 1.6 16V 5p,7848
2487,0.05797871103256993,Fox 1.6 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-1-6-4p/10-11/1187678,Vale Veículos,"Av. Fernando Correa da Costa, 2099 - Jardim Aclimação - Campo Grande / MS",2010.0,2011.0, MS,"Av. Fernando Correa da Costa, 2099 ", Jardim Aclimação , Campo Grande ,vw-volkswagen,17/06/2022,1781,Ford,22,Focus Sedan 1.6 16V Flex 4p Aut.,7687
2538,0.33270123490027015,Palio 1.0 Fire 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/15-15/1187777,Ever Motors,"Rua Alegrete, 1801 - Monte Castelo - Campo Grande / MS",2015.0,2015.0, MS,"Rua Alegrete, 1801 ", Monte Castelo , Campo Grande ,fiat,17/06/2022,1214,Fiat,21,Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 4p,506
2546,0.14107741635804996,Celta LT 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-lt-1-0-4p/15-15/1187292,Lincar Automóveis,"Av. Salgado Filho, 518 - Amambai - Campo Grande / MS",2015.0,2015.0, MS,"Av. Salgado Filho, 518 ", Amambai , Campo Grande ,gm-chevrolet,17/06/2022,2114,GM - Chevrolet,23,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,1002
2692,0.21087897806652342,Voyage Comfortline 1.6,Preta,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/voyage-comfortline-1-6/10-11/1186718,New Car Multimarcas,"Rua do Rosário, 259 - Vila Gomes - Campo Grande / MS",2010.0,2011.0, MS,"Rua do Rosário, 259 ", Vila Gomes , Campo Grande ,vw-volkswagen,17/06/2022,6088,VW - VolksWagen,59,VOYAGE Comfortline  1.0 T.Flex 8V 4p,6810
2796,0.20096982939129174,Gol 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/12-13/1189622,Eduardo Marques,Campo Grande - MS,2012.0,2013.0,,Campo Grande , MS,,vw-volkswagen,17/06/2022,5678,VW - VolksWagen,59,Gol 1.0 Plus 16v 4p,2383
2812,0.4858765142247032,Sandero StepWay 1.6 16v,Branca,Flex,,,https://www.shopcar.com.br/veiculos/renault/sandero-stepway-1-6-16v/12-12/1187689,Edimar Aparecido de Oliveira,Campo Grande - MS,2012.0,2012.0,,Campo Grande , MS,,renault,17/06/2022,4977,Renault,48,SANDERO STEPWAY Flex 1.6 16V 5p,7851
2820,0.2952652602212782,Corolla XEi 1.8 16v A/T,Cinza,Gasolina,,,https://www.shopcar.com.br/veiculos/toyota/corolla-xei-1-8-16v/06-07/1192101,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS",2006.0,2007.0, MS,"Rua João Pedro de Souza,73 ", Jardim Monte Líbano , Campo Grande ,toyota,17/06/2022,5283,Toyota,56,Corolla XEi 1.8/1.8 Flex 16V Aut.,2229
2960,0.002848361279027982,C3 Hatch Exclusive 1.6 16v A/T,Prata,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-1-6-16v/12-13/1190931,Paulo do Amaral,Campo Grande - MS,2012.0,2013.0,,Campo Grande , MS,,citro-n,17/06/2022,731,Citroën,13,C3 Picasso Exclusive 1.6 Flex 16V 5p Mec,5551
3019,0.3223804527894633,J5 1.5 16v,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/jac/j5-1-5-16v/13-14/1185363,K20 Motors,"Rua Piriá, 1208 - Guanandi - Campo Grande / MS",2013.0,2014.0, MS,"Rua Piriá, 1208 ", Guanandi , Campo Grande ,jac,17/06/2022,2876,JAC,177,J5 Sedan 1.5 16V 4p Mec.,5933
3020,0.20096982939129174,Gol 1.0 4p.,Vermelha,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/14-15/1148445,Art Motors,"Av. Bandeirantes, 242 - Amambaí - Campo Grande / MS",2014.0,2015.0, MS,"Av. Bandeirantes, 242 ", Amambaí , Campo Grande ,vw-volkswagen,17/06/2022,5678,VW - VolksWagen,59,Gol 1.0 Plus 16v 4p,2383
3036,0.01067049361541369,Jeep CJ-5,Azul,Gasolina,,,https://www.shopcar.com.br/veiculos/ford/jeep-cj-5/76-76/1160196,Tomitão Carros e Negócios,"Av. Ceará, 2678 - Vila Rica - Campo Grande / MS",1976.0,1976.0, MS,"Av. Ceará, 2678 ", Vila Rica , Campo Grande ,ford,17/06/2022,4356,Peugeot,44,205 CJ Cabriolet,1844
3088,0.06295123765195736,Uno Way 1.4 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/fiat/uno-way-1-4-4p/15-15/1186485,Kart Veículos,"Rua Rio Grande do Sul, 357 - Jardim dos Estados - Campo Grande / MS",2015.0,2015.0, MS,"Rua Rio Grande do Sul, 357 ", Jardim dos Estados , Campo Grande ,fiat,17/06/2022,1520,Fiat,21,UNO SPORTING 1.4 EVO Fire Flex 8V 4p,5465
3094,-0.07595874906650682,Modelo,Cor, Combustível,,,Link,Vendedor,Cidade,,,,Cidade,,,,17/06/2022,5700,VW - VolksWagen,59,Gol 1000 (modelo antigo),2399
3102,0.2842084121460802,Uno Way 1.0 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/fiat/uno-way-1-0-4p/12-12/1177961,Seicar Veículos,"Av. Bandeirantes, 2878 - Nova Bandeirantes - Campo Grande / MS",2012.0,2012.0, MS,"Av. Bandeirantes, 2878 ", Nova Bandeirantes , Campo Grande ,fiat,17/06/2022,1511,Fiat,21,Uno Mille WAY ECONOMY 1.0 F.Flex 4p,4766
3104,0.09940187801386108,Fox 1.0 4p.,Azul,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-1-0-4p/11-12/1191152,New Car Multimarcas,"Rua do Rosário, 259 - Vila Gomes - Campo Grande / MS",2011.0,2012.0, MS,"Rua do Rosário, 259 ", Vila Gomes , Campo Grande ,vw-volkswagen,17/06/2022,5631,VW - VolksWagen,59,Fox Comfortline 1.0 Flex 8V 5p,6934
3339,0.22068488475466627,Gol Trend 1.6 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-6-4p/10-11/1186025,BSG Veículos,"Av. Cel. Antonino, 2053 - Conj. Res. Estrela do Sul - Campo Grande / MS",2010.0,2011.0, MS,"Av. Cel. Antonino, 2053 ", Conj. Res. Estrela do Sul , Campo Grande ,vw-volkswagen,17/06/2022,5715,VW - VolksWagen,59,Gol City (Trend) 1.6 Mi T.Flex 8V 4p,2417
